Stock,Model,R2,RMSE,MSE,MAE
FM,GARCH,0.6259,0.0034,1.1e-05,0.0018
FM,GJR,0.4287,0.0042,1.7e-05,0.002
FM,EGARCH,0.4136,0.0042,1.8e-05,0.002
