Stock,Fusion_Model,R2,RMSE,MSE,MAE
MS,EGARCH_pred+AdaBoost,0.6742,0.002,4e-06,0.0013
MS,EGARCH_pred+KNN,-1.2685,0.0052,2.7e-05,0.0043
PNC,GARCH_pred+RandomForest,0.877,0.0014,2e-06,0.001
PNC,GARCH_pred+XGBoost,0.8375,0.0016,2e-06,0.0011
PNC,GARCH_pred+CatBoost,0.8492,0.0015,2e-06,0.0011
PNC,GARCH_pred+AdaBoost,0.6969,0.0021,4e-06,0.0016
PNC,GARCH_pred+KNN,-5.5188,0.0098,9.7e-05,0.0071
PNC,GJR_pred+RandomForest,0.8746,0.0014,2e-06,0.001
PNC,GJR_pred+XGBoost,0.8545,0.0015,2e-06,0.0011
PNC,GJR_pred+CatBoost,0.8429,0.0015,2e-06,0.0011
PNC,GJR_pred+AdaBoost,0.7277,0.002,4e-06,0.0015
PNC,GJR_pred+KNN,-5.5188,0.0098,9.7e-05,0.0071
PNC,EGARCH_pred+RandomForest,0.8727,0.0014,2e-06,0.001
PNC,EGARCH_pred+XGBoost,0.8505,0.0015,2e-06,0.001
PNC,EGARCH_pred+CatBoost,0.8488,0.0015,2e-06,0.0012
PNC,EGARCH_pred+AdaBoost,0.6452,0.0023,5e-06,0.0017
PNC,EGARCH_pred+KNN,-5.5188,0.0098,9.7e-05,0.0071
BMO,GARCH_pred+RandomForest,0.9169,0.0009,1e-06,0.0007
BMO,GARCH_pred+XGBoost,0.9073,0.0009,1e-06,0.0007
BMO,GARCH_pred+CatBoost,0.7868,0.0014,2e-06,0.0011
BMO,GARCH_pred+AdaBoost,0.7219,0.0016,3e-06,0.0013
BMO,GARCH_pred+KNN,-1.0199,0.0043,1.9e-05,0.0038
BMO,GJR_pred+RandomForest,0.9141,0.0009,1e-06,0.0007
BMO,GJR_pred+XGBoost,0.8992,0.001,1e-06,0.0007
BMO,GJR_pred+CatBoost,0.7529,0.0015,2e-06,0.0012
BMO,GJR_pred+AdaBoost,0.6816,0.0017,3e-06,0.0014
BMO,GJR_pred+KNN,-1.0199,0.0043,1.9e-05,0.0038
BMO,EGARCH_pred+RandomForest,0.9176,0.0009,1e-06,0.0007
BMO,EGARCH_pred+XGBoost,0.904,0.0009,1e-06,0.0007
BMO,EGARCH_pred+CatBoost,0.7935,0.0014,2e-06,0.001
BMO,EGARCH_pred+AdaBoost,0.7613,0.0015,2e-06,0.0012
BMO,EGARCH_pred+KNN,-1.0199,0.0043,1.9e-05,0.0038
STT,GARCH_pred+RandomForest,0.8498,0.0025,6e-06,0.0016
STT,GARCH_pred+XGBoost,0.818,0.0027,7e-06,0.0018
STT,GARCH_pred+CatBoost,0.8077,0.0028,8e-06,0.0019
STT,GARCH_pred+AdaBoost,0.7778,0.003,9e-06,0.0023
STT,GARCH_pred+KNN,-3.1754,0.013,0.00017,0.0107
STT,GJR_pred+RandomForest,0.8459,0.0025,6e-06,0.0016
STT,GJR_pred+XGBoost,0.7945,0.0029,8e-06,0.002
STT,GJR_pred+CatBoost,0.8048,0.0028,8e-06,0.002
STT,GJR_pred+AdaBoost,0.7536,0.0032,1e-05,0.0025
STT,GJR_pred+KNN,-3.1754,0.013,0.00017,0.0107
STT,EGARCH_pred+XGBoost,0.812,0.0028,8e-06,0.002
STT,EGARCH_pred+CatBoost,0.7735,0.003,9e-06,0.0021
STT,EGARCH_pred+KNN,-3.1951,0.0131,0.000171,0.0108
HSBC,GARCH_pred+RandomForest,0.8572,0.0016,3e-06,0.0013
HSBC,GARCH_pred+XGBoost,0.816,0.0019,3e-06,0.0015
HSBC,GARCH_pred+CatBoost,0.7325,0.0022,5e-06,0.0018
HSBC,GARCH_pred+AdaBoost,0.7837,0.002,4e-06,0.0016
HSBC,GARCH_pred+KNN,-3.3968,0.0091,8.3e-05,0.0081
HSBC,GJR_pred+RandomForest,0.8595,0.0016,3e-06,0.0013
HSBC,GJR_pred+XGBoost,0.8084,0.0019,4e-06,0.0015
HSBC,GJR_pred+CatBoost,0.7829,0.002,4e-06,0.0016
HSBC,GJR_pred+AdaBoost,0.7561,0.0021,5e-06,0.0017
HSBC,GJR_pred+KNN,-3.3968,0.0091,8.3e-05,0.0081
HSBC,EGARCH_pred+RandomForest,0.8567,0.0016,3e-06,0.0014
HSBC,EGARCH_pred+XGBoost,0.8556,0.0017,3e-06,0.0014
HSBC,EGARCH_pred+CatBoost,0.7589,0.0021,5e-06,0.0017
HSBC,EGARCH_pred+AdaBoost,0.7898,0.002,4e-06,0.0017
HSBC,EGARCH_pred+KNN,-3.3968,0.0091,8.3e-05,0.0081
AXP,GARCH_pred+RandomForest,0.7452,0.0022,5e-06,0.0015
AXP,GARCH_pred+XGBoost,0.4824,0.0032,1e-05,0.002
AXP,GARCH_pred+CatBoost,0.6546,0.0026,7e-06,0.002
AXP,GARCH_pred+AdaBoost,0.246,0.0038,1.5e-05,0.0032
AXP,GARCH_pred+KNN,-17.3848,0.0188,0.000354,0.0155
AXP,GJR_pred+RandomForest,0.7852,0.002,4e-06,0.0014
AXP,GJR_pred+XGBoost,0.5359,0.003,9e-06,0.002
AXP,GJR_pred+CatBoost,0.5732,0.0029,8e-06,0.0022
AXP,GJR_pred+AdaBoost,0.2604,0.0038,1.4e-05,0.0031
AXP,GJR_pred+KNN,-17.3848,0.0188,0.000354,0.0155
AXP,EGARCH_pred+XGBoost,0.5099,0.0031,9e-06,0.002
AXP,EGARCH_pred+CatBoost,0.5957,0.0028,8e-06,0.0021
AXP,EGARCH_pred+KNN,-17.3954,0.0188,0.000355,0.0155
FITB,GARCH_pred+RandomForest,0.9001,0.0021,4e-06,0.0013
FITB,GARCH_pred+XGBoost,0.87,0.0023,6e-06,0.0017
FITB,GARCH_pred+CatBoost,0.8325,0.0027,7e-06,0.0021
FITB,GARCH_pred+AdaBoost,0.8362,0.0026,7e-06,0.0021
FITB,GARCH_pred+KNN,-0.1679,0.007,4.9e-05,0.0059
FITB,GJR_pred+RandomForest,0.8967,0.0021,4e-06,0.0013
FITB,GJR_pred+XGBoost,0.8656,0.0024,6e-06,0.0017
FITB,GJR_pred+CatBoost,0.8292,0.0027,7e-06,0.0021
FITB,GJR_pred+AdaBoost,0.8154,0.0028,8e-06,0.0022
FITB,GJR_pred+KNN,-0.1679,0.007,4.9e-05,0.0059
FITB,EGARCH_pred+RandomForest,0.8935,0.0021,5e-06,0.0014
FITB,EGARCH_pred+XGBoost,0.848,0.0025,6e-06,0.0018
FITB,EGARCH_pred+CatBoost,0.8091,0.0028,8e-06,0.0023
FITB,EGARCH_pred+AdaBoost,0.8106,0.0028,8e-06,0.0022
FITB,EGARCH_pred+KNN,-0.1679,0.007,4.9e-05,0.0059
MTB,GARCH_pred+RandomForest,0.8359,0.002,4e-06,0.0013
MTB,GARCH_pred+XGBoost,0.8094,0.0022,5e-06,0.0016
MTB,GARCH_pred+CatBoost,0.7775,0.0024,6e-06,0.0017
MTB,GARCH_pred+AdaBoost,0.6698,0.0029,8e-06,0.0022
MTB,GARCH_pred+KNN,-23.213,0.0249,0.000619,0.0211
MTB,GJR_pred+RandomForest,0.8488,0.002,4e-06,0.0012
MTB,GJR_pred+XGBoost,0.8282,0.0021,4e-06,0.0014
MTB,GJR_pred+CatBoost,0.7848,0.0023,6e-06,0.0017
MTB,GJR_pred+AdaBoost,0.7288,0.0026,7e-06,0.002
MTB,GJR_pred+KNN,-23.213,0.0249,0.000619,0.0211
MTB,EGARCH_pred+RandomForest,0.8398,0.002,4e-06,0.0013
MTB,EGARCH_pred+XGBoost,0.811,0.0022,5e-06,0.0016
MTB,EGARCH_pred+CatBoost,0.7919,0.0023,5e-06,0.0017
MTB,EGARCH_pred+AdaBoost,0.6621,0.0029,9e-06,0.0023
MTB,EGARCH_pred+KNN,-23.213,0.0249,0.000619,0.0211
