Stock,Fusion_Model,R2,RMSE,MSE,MAE
AXISBANK.NS,GARCH_pred+XGBoost,0.122,0.0025,6e-06,0.002
AXISBANK.NS,GARCH_pred+CatBoost,-0.0992,0.0028,8e-06,0.0024
AXISBANK.NS,GARCH_pred+AdaBoost,-0.747,0.0036,1.3e-05,0.0032
AXISBANK.NS,GARCH_pred+KNN,-17.7653,0.0117,0.000137,0.0114
AXISBANK.NS,GJR_pred+RandomForest,0.3692,0.0021,5e-06,0.0017
AXISBANK.NS,GJR_pred+XGBoost,0.3689,0.0021,5e-06,0.0017
AXISBANK.NS,GJR_pred+CatBoost,-0.5273,0.0033,1.1e-05,0.0029
AXISBANK.NS,GJR_pred+AdaBoost,-0.6792,0.0035,1.2e-05,0.0031
AXISBANK.NS,GJR_pred+KNN,-17.7653,0.0117,0.000137,0.0114
AXISBANK.NS,EGARCH_pred+RandomForest,0.3576,0.0022,5e-06,0.0017
AXISBANK.NS,EGARCH_pred+XGBoost,0.3481,0.0022,5e-06,0.0018
AXISBANK.NS,EGARCH_pred+CatBoost,-0.061,0.0028,8e-06,0.0024
AXISBANK.NS,EGARCH_pred+AdaBoost,-0.5844,0.0034,1.2e-05,0.003
AXISBANK.NS,EGARCH_pred+KNN,-17.7653,0.0117,0.000137,0.0114
PNB.NS,GARCH_pred+RandomForest,0.8238,0.0022,5e-06,0.0018
PNB.NS,GARCH_pred+XGBoost,0.6949,0.0029,8e-06,0.0024
PNB.NS,GARCH_pred+CatBoost,0.666,0.003,9e-06,0.0025
PNB.NS,GARCH_pred+AdaBoost,0.7477,0.0026,7e-06,0.0022
PNB.NS,GARCH_pred+KNN,-2.3638,0.0097,9.3e-05,0.0082
PNB.NS,GJR_pred+RandomForest,0.7594,0.0026,7e-06,0.002
PNB.NS,GJR_pred+XGBoost,0.6605,0.0031,9e-06,0.0023
PNB.NS,GJR_pred+CatBoost,0.7327,0.0027,7e-06,0.0022
PNB.NS,GJR_pred+AdaBoost,0.6899,0.0029,9e-06,0.0024
PNB.NS,GJR_pred+KNN,-2.3638,0.0097,9.3e-05,0.0082
PNB.NS,EGARCH_pred+RandomForest,0.8426,0.0021,4e-06,0.0017
PNB.NS,EGARCH_pred+XGBoost,0.7213,0.0028,8e-06,0.0022
PNB.NS,EGARCH_pred+CatBoost,0.6717,0.003,9e-06,0.0025
PNB.NS,EGARCH_pred+AdaBoost,0.7554,0.0026,7e-06,0.0021
PNB.NS,EGARCH_pred+KNN,-2.3638,0.0097,9.3e-05,0.0082
INDUSINDBK.NS,GARCH_pred+RandomForest,0.8307,0.0014,2e-06,0.001
INDUSINDBK.NS,GARCH_pred+XGBoost,0.7376,0.0017,3e-06,0.0012
INDUSINDBK.NS,GARCH_pred+CatBoost,0.7004,0.0018,3e-06,0.0013
INDUSINDBK.NS,GARCH_pred+AdaBoost,0.4344,0.0025,6e-06,0.0021
INDUSINDBK.NS,GARCH_pred+KNN,-2.8554,0.0065,4.2e-05,0.0059
INDUSINDBK.NS,GJR_pred+RandomForest,0.8208,0.0014,2e-06,0.001
INDUSINDBK.NS,GJR_pred+XGBoost,0.7505,0.0017,3e-06,0.0012
INDUSINDBK.NS,GJR_pred+CatBoost,0.718,0.0018,3e-06,0.0013
INDUSINDBK.NS,GJR_pred+AdaBoost,0.1111,0.0031,1e-05,0.0025
INDUSINDBK.NS,GJR_pred+KNN,-2.8554,0.0065,4.2e-05,0.0059
INDUSINDBK.NS,EGARCH_pred+XGBoost,0.725,0.0017,3e-06,0.0013
INDUSINDBK.NS,EGARCH_pred+CatBoost,0.5232,0.0023,5e-06,0.0015
INDUSINDBK.NS,EGARCH_pred+KNN,-5.9866,0.0087,7.6e-05,0.0062
BANDHANBNK.NS,GARCH_pred+RandomForest,0.1376,0.002,4e-06,0.0015
BANDHANBNK.NS,GARCH_pred+XGBoost,0.1847,0.0019,4e-06,0.0015
BANDHANBNK.NS,GARCH_pred+CatBoost,-0.0656,0.0022,5e-06,0.0017
BANDHANBNK.NS,GARCH_pred+AdaBoost,-0.3898,0.0025,6e-06,0.002
BANDHANBNK.NS,GARCH_pred+KNN,-2.0553,0.0037,1.4e-05,0.003
BANDHANBNK.NS,GJR_pred+RandomForest,0.1022,0.002,4e-06,0.0016
BANDHANBNK.NS,GJR_pred+XGBoost,0.0038,0.0021,5e-06,0.0017
BANDHANBNK.NS,GJR_pred+CatBoost,-0.103,0.0022,5e-06,0.0017
BANDHANBNK.NS,GJR_pred+AdaBoost,-0.3134,0.0024,6e-06,0.0019
BANDHANBNK.NS,GJR_pred+KNN,-2.0553,0.0037,1.4e-05,0.003
LICHSGFIN.NS,GARCH_pred+RandomForest,0.5926,0.0019,4e-06,0.0014
LICHSGFIN.NS,GARCH_pred+XGBoost,0.5435,0.002,4e-06,0.0015
LICHSGFIN.NS,GARCH_pred+CatBoost,0.6743,0.0017,3e-06,0.0012
LICHSGFIN.NS,GARCH_pred+AdaBoost,0.3039,0.0025,6e-06,0.0019
LICHSGFIN.NS,GARCH_pred+KNN,-1.5667,0.0049,2.4e-05,0.0039
LICHSGFIN.NS,GJR_pred+RandomForest,0.6819,0.0017,3e-06,0.0012
LICHSGFIN.NS,GJR_pred+XGBoost,0.6801,0.0017,3e-06,0.0012
LICHSGFIN.NS,GJR_pred+CatBoost,0.6769,0.0017,3e-06,0.0013
LICHSGFIN.NS,GJR_pred+AdaBoost,0.3851,0.0024,6e-06,0.002
LICHSGFIN.NS,GJR_pred+KNN,-1.5667,0.0049,2.4e-05,0.0039
LICHSGFIN.NS,EGARCH_pred+RandomForest,0.6562,0.0018,3e-06,0.0013
LICHSGFIN.NS,EGARCH_pred+XGBoost,0.6937,0.0017,3e-06,0.0012
LICHSGFIN.NS,EGARCH_pred+CatBoost,0.6796,0.0017,3e-06,0.0012
LICHSGFIN.NS,EGARCH_pred+AdaBoost,0.5729,0.002,4e-06,0.0016
LICHSGFIN.NS,EGARCH_pred+KNN,-1.5667,0.0049,2.4e-05,0.0039
HDFCLIFE.NS,GARCH_pred+RandomForest,0.7283,0.002,4e-06,0.0015
