Stock,Fusion_Model,R2,RMSE,MSE,MAE
NWG.L,GJR_pred+AdaBoost,0.8566,0.0021,4e-06,0.0016
NWG.L,GJR_pred+KNN,-0.7072,0.0073,5.3e-05,0.0062
NWG.L,EGARCH_pred+RandomForest,0.8826,0.0019,4e-06,0.0013
NWG.L,EGARCH_pred+XGBoost,0.8599,0.0021,4e-06,0.0014
NWG.L,EGARCH_pred+CatBoost,0.8568,0.0021,4e-06,0.0016
NWG.L,EGARCH_pred+AdaBoost,0.8644,0.0021,4e-06,0.0015
NWG.L,EGARCH_pred+KNN,-0.7072,0.0073,5.3e-05,0.0062
PRU.L,GARCH_pred+RandomForest,0.9117,0.0017,3e-06,0.0012
PRU.L,GARCH_pred+XGBoost,0.898,0.0019,4e-06,0.0013
PRU.L,GARCH_pred+CatBoost,0.8861,0.002,4e-06,0.0014
PRU.L,GARCH_pred+AdaBoost,0.7727,0.0028,8e-06,0.0023
PRU.L,GARCH_pred+KNN,-2.3008,0.0107,0.000114,0.0077
PRU.L,GJR_pred+RandomForest,0.9133,0.0017,3e-06,0.0011
PRU.L,GJR_pred+XGBoost,0.9103,0.0018,3e-06,0.0012
PRU.L,GJR_pred+CatBoost,0.8858,0.002,4e-06,0.0014
PRU.L,GJR_pred+AdaBoost,0.7348,0.003,9e-06,0.0025
PRU.L,GJR_pred+KNN,-2.3008,0.0107,0.000114,0.0077
PRU.L,EGARCH_pred+RandomForest,0.9082,0.0018,3e-06,0.0012
PRU.L,EGARCH_pred+XGBoost,0.8828,0.002,4e-06,0.0014
PRU.L,EGARCH_pred+CatBoost,0.8884,0.002,4e-06,0.0014
PRU.L,EGARCH_pred+AdaBoost,0.7087,0.0032,1e-05,0.0025
PRU.L,EGARCH_pred+KNN,-2.3008,0.0107,0.000114,0.0077
LGEN.L,GARCH_pred+RandomForest,0.8692,0.0015,2e-06,0.0012
LGEN.L,GARCH_pred+XGBoost,0.6227,0.0026,7e-06,0.0023
LGEN.L,GARCH_pred+CatBoost,0.8259,0.0018,3e-06,0.0014
LGEN.L,GARCH_pred+AdaBoost,0.837,0.0017,3e-06,0.0012
LGEN.L,GARCH_pred+KNN,-55.8425,0.0317,0.001007,0.028
LGEN.L,GJR_pred+RandomForest,0.904,0.0013,2e-06,0.001
LGEN.L,GJR_pred+XGBoost,0.6414,0.0025,6e-06,0.0022
LGEN.L,GJR_pred+CatBoost,0.8151,0.0018,3e-06,0.0015
LGEN.L,GJR_pred+AdaBoost,0.8187,0.0018,3e-06,0.0012
LGEN.L,GJR_pred+KNN,-55.8425,0.0317,0.001007,0.028
LGEN.L,EGARCH_pred+RandomForest,0.8587,0.0016,3e-06,0.0013
LGEN.L,EGARCH_pred+XGBoost,0.632,0.0026,7e-06,0.0022
LGEN.L,EGARCH_pred+CatBoost,0.8427,0.0017,3e-06,0.0013
LGEN.L,EGARCH_pred+AdaBoost,0.8374,0.0017,3e-06,0.0012
LGEN.L,EGARCH_pred+KNN,-55.8425,0.0317,0.001007,0.028
AV.L,GARCH_pred+RandomForest,0.8599,0.0014,2e-06,0.001
AV.L,GARCH_pred+XGBoost,0.8046,0.0017,3e-06,0.0012
AV.L,GARCH_pred+CatBoost,0.8246,0.0016,2e-06,0.0012
AV.L,GARCH_pred+AdaBoost,0.6175,0.0023,5e-06,0.002
AV.L,GARCH_pred+KNN,-5.3393,0.0095,9e-05,0.0069
AV.L,GJR_pred+RandomForest,0.8503,0.0015,2e-06,0.001
AV.L,GJR_pred+XGBoost,0.7945,0.0017,3e-06,0.0013
AV.L,GJR_pred+CatBoost,0.8213,0.0016,3e-06,0.0012
AV.L,GJR_pred+AdaBoost,0.5602,0.0025,6e-06,0.0022
AV.L,GJR_pred+KNN,-5.3393,0.0095,9e-05,0.0069
